sid,underlying_sid,root,symbol,name,mktdata_type,asset_class,instrument_type,mult,tick_size,start_date,end_date,auto_close_date,exchange_name,calendar_name,ccy,ccy_pair,base_ccy,quote_ccy,expiry_date,notice_date
123,257,HINDALCO,HINDALCO-I,HINDALCO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
124,-1,,TATAGLOBAL,TATAGLOBAL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
125,-1,,VOLTAS,VOLTAS,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
126,-1,,MINDTREE,MINDTREE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
127,352,SIEMENS,SIEMENS-I,SIEMENS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
128,92,TATAMTRDVR,TATAMTRDVR-I,TATAMTRDVR FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
129,-1,,BATAINDIA,BATAINDIA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
130,-1,,JSWSTEEL,JSWSTEEL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
131,-1,,ANDHRABANK,ANDHRABANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
132,297,DCBBANK,DCBBANK-I,DCBBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
133,-1,,BAJFINANCE,BAJFINANCE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
134,46,PIDILITIND,PIDILITIND-I,PIDILITIND FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
135,-1,,NMDC,NMDC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
136,-1,,DLF,DLF,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
137,-1,,CESC,CESC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
138,183,LUPIN,LUPIN-I,LUPIN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
139,328,SINTEX,SINTEX-I,SINTEX FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.50E+18,1.50E+18,NSE,NSE,INR,,,,,
140,-1,,AXISBANK,AXISBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
141,71,LT,LT-I,LT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
142,333,CEATLTD,CEATLTD-I,CEATLTD FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
143,255,IDFCBANK,IDFCBANK-I,IDFCBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
144,-1,,APOLLOTYRE,APOLLOTYRE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
145,-1,,AMBUJACEM,AMBUJACEM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
146,-1,,ITC,ITC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
147,80,TV18BRDCST,TV18BRDCST-I,TV18BRDCST FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
148,-1,,TATAELXSI,TATAELXSI,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
149,-1,,IDEA,IDEA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
150,36,ADANIENT,ADANIENT-I,ADANIENT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
151,212,RCOM,RCOM-I,RCOM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
152,173,HEROMOTOCO,HEROMOTOCO-I,HEROMOTOCO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
153,-1,,NTPC,NTPC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
154,-1,,M&MFIN,M&MFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
155,114,BHARTIARTL,BHARTIARTL-I,BHARTIARTL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
156,-1,,TATAPOWER,TATAPOWER,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
157,187,ACC,ACC-I,ACC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
158,108,DIVISLAB,DIVISLAB-I,DIVISLAB FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
159,-1,,CENTURYTEX,CENTURYTEX,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
160,275,M&M,M&M-I,M&M FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
161,67,TCS,TCS-I,TCS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
162,175,RELCAPITAL,RELCAPITAL-I,RELCAPITAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
163,-1,,NIFTY-I,NIFTY50 FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
164,-1,,TORNTPOWER,TORNTPOWER,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
165,309,TATASTEEL,TATASTEEL-I,TATASTEEL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
166,-1,,PTC,PTC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
167,290,COLPAL,COLPAL-I,COLPAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
168,-1,,CAIRN,CAIRN,0,0,0,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,,,,,
